candle_idx,date,pattern,c1_open,c1_close,c2_open,c2_close,c3_open,c3_close,pattern_high,pattern_low,next_high,next_low,outcome
276,2024-11-26,3-3-1 Bearish Reversal,6475.75,6498.75,6490.5,6472.75,6482.25,6487.0,6501.25,6457.5,6517.25,6476.25,Broke High
277,2024-11-27,2-1-3 Bullish Reversal,6490.5,6472.75,6482.25,6487.0,6478.75,6508.75,6517.25,6457.5,6525.75,6507.0,Broke High
278,2024-11-28,1-3-1 Bullish Reversal,6482.25,6487.0,6478.75,6508.75,6512.5,6520.25,6525.75,6476.25,6528.0,6504.75,Broke High
279,2024-11-29,3-1-1 Bullish Reversal,6478.75,6508.75,6512.5,6520.25,6515.75,6524.0,6528.0,6476.25,6559.5,6529.75,Broke High
280,2024-12-02,1-1-3 Bullish Reversal,6512.5,6520.25,6515.75,6524.0,6537.25,6552.75,6559.5,6504.75,6564.5,6538.75,Broke High
281,2024-12-03,1-3-2 Bullish Reversal,6515.75,6524.0,6537.25,6552.75,6555.75,6543.0,6564.5,6504.75,6568.25,6547.25,Broke High
282,2024-12-04,3-3-1 Bullish Reversal,6537.25,6552.75,6555.75,6543.0,6551.75,6554.0,6568.25,6529.75,6555.0,6517.25,Broke Low
283,2024-12-05,2-1-3 Bearish Reversal,6555.75,6543.0,6551.75,6554.0,6553.25,6520.5,6568.25,6517.25,6532.5,6497.0,Broke Low
284,2024-12-06,1-3-2 Bearish Reversal,6551.75,6554.0,6553.25,6520.5,6529.0,6510.0,6568.25,6497.0,6560.25,6530.5,Broke None
285,2024-12-09,3-2-1 Bullish Reversal,6553.25,6520.5,6529.0,6510.0,6533.75,6544.5,6560.25,6497.0,6545.5,6513.0,Broke None
286,2024-12-10,2-1-3 Bullish Reversal,6529.0,6510.0,6533.75,6544.5,6540.5,6516.0,6560.25,6497.0,6543.75,6501.0,Broke None
287,2024-12-11,1-3-3 Bearish Reversal,6533.75,6544.5,6540.5,6516.0,6535.5,6512.0,6560.25,6501.0,6554.25,6527.0,Broke None
288,2024-12-12,3-3-1 Bullish Reversal,6540.5,6516.0,6535.5,6512.0,6534.5,6540.25,6554.25,6501.0,6528.75,6504.75,Broke None
289,2024-12-13,3-1-1 Bullish Reversal,6535.5,6512.0,6534.5,6540.25,6518.0,6516.25,6554.25,6501.0,6538.5,6297.0,Broke Low
290,2024-12-16,1-1-3 Bearish Reversal,6534.5,6540.25,6518.0,6516.25,6514.5,6330.0,6554.25,6297.0,6395.75,6321.75,Broke None
291,2024-12-17,1-3-1 Bearish Reversal,6518.0,6516.25,6514.5,6330.0,6379.25,6331.75,6538.5,6297.0,6441.25,6288.75,Broke Low
292,2024-12-18,3-1-1 Bullish Reversal,6514.5,6330.0,6379.25,6331.75,6297.75,6387.0,6538.5,6288.75,6433.5,6355.5,Broke None
293,2024-12-19,1-3-1 Bullish Reversal,6379.25,6331.75,6297.75,6387.0,6389.25,6426.5,6441.25,6288.75,6490.0,6432.75,Broke High
294,2024-12-20,3-1-1 Bullish Reversal,6297.75,6387.0,6389.25,6426.5,6438.5,6489.5,6490.0,6288.75,6495.5,6485.25,Broke High
295,2024-12-23,3-3-1 Bullish Reversal,6389.25,6426.5,6438.5,6489.5,6489.75,6493.25,6495.5,6355.5,6498.0,6453.75,Broke High
296,2024-12-24,3-1-1 Bearish Reversal,6438.5,6489.5,6489.75,6493.25,6469.75,6482.0,6498.0,6432.75,6446.0,6373.25,Broke Low
297,2024-12-25,1-2-3 Bearish Reversal,6489.75,6493.25,6469.75,6482.0,6443.0,6419.75,6498.0,6373.25,6383.75,6308.75,Broke Low
298,2024-12-26,2-3-1 Bearish Reversal,6469.75,6482.0,6443.0,6419.75,6345.75,6344.75,6498.0,6308.75,6370.75,6307.75,Broke Low
299,2024-12-27,3-1-3 Bearish Reversal,6443.0,6419.75,6345.75,6344.75,6363.0,6328.75,6446.0,6307.75,6356.0,6301.25,Broke Low
300,2024-12-30,1-3-2 Bullish Reversal,6345.75,6344.75,6363.0,6328.75,6339.75,6354.25,6383.75,6301.25,6375.5,6265.25,Broke Low
301,2024-12-31,2-1-3 Bearish Reversal,6363.0,6328.75,6339.75,6354.25,6358.25,6310.5,6375.5,6265.25,6387.25,6324.5,Broke High
302,2025-01-01,1-3-3 Bullish Reversal,6339.75,6354.25,6358.25,6310.5,6335.5,6375.75,6387.25,6265.25,6458.75,6394.5,Broke High
303,2025-01-02,3-3-1 Bullish Reversal,6358.25,6310.5,6335.5,6375.75,6423.25,6418.75,6458.75,6265.25,6436.0,6325.5,Broke None
304,2025-01-03,2-1-3 Bearish Reversal,6335.5,6375.75,6423.25,6418.75,6432.5,6345.25,6458.75,6324.5,6362.25,6307.5,Broke Low
305,2025-01-06,1-3-1 Bearish Reversal,6423.25,6418.75,6432.5,6345.25,6344.5,6345.25,6458.75,6307.5,6312.25,6235.75,Broke Low
306,2025-01-07,3-1-3 Bearish Reversal,6432.5,6345.25,6344.5,6345.25,6311.25,6252.0,6436.0,6235.75,6273.75,6203.5,Broke Low
307,2025-01-08,1-3-3 Bearish Reversal,6344.5,6345.25,6311.25,6252.0,6208.0,6272.25,6362.25,6203.5,6300.25,6233.0,Broke None
308,2025-01-10,3-3-1 Bullish Reversal,6311.25,6252.0,6208.0,6272.25,6293.25,6282.0,6312.25,6203.5,6391.75,6343.0,Broke High
309,2025-01-13,3-1-1 Bullish Reversal,6208.0,6272.25,6293.25,6282.0,6355.25,6378.25,6391.75,6203.5,6394.75,6352.25,Broke High
310,2025-01-14,1-2-3 Bullish Reversal,6293.25,6282.0,6355.25,6378.25,6392.25,6360.0,6394.75,6233.0,6442.0,6403.25,Broke High
311,2025-01-15,2-3-1 Bullish Reversal,6355.25,6378.25,6392.25,6360.0,6417.25,6423.0,6442.0,6343.0,6468.75,6427.0,Broke High
312,2025-01-16,3-1-1 Bullish Reversal,6392.25,6360.0,6417.25,6423.0,6454.75,6445.75,6468.75,6352.25,6483.75,6434.0,Broke High
313,2025-01-17,1-1-3 Bullish Reversal,6417.25,6423.0,6454.75,6445.75,6454.25,6482.25,6483.75,6403.25,6526.25,6501.75,Broke High
314,2025-01-20,1-3-1 Bullish Reversal,6454.75,6445.75,6454.25,6482.25,6506.75,6510.75,6526.25,6427.0,6544.5,6501.75,Broke High
315,2025-01-21,3-1-3 Bullish Reversal,6454.25,6482.25,6506.75,6510.75,6504.0,6539.0,6544.5,6434.0,6552.75,6512.5,Broke High
316,2025-01-22,1-3-2 Bullish Reversal,6506.75,6510.75,6504.0,6539.0,6542.5,6522.5,6552.75,6501.75,6447.0,6387.25,Broke Low
