et,expiry,spot,net_gex,net_vol_gex,call_gamma,put_gamma
2026-07-29 02:49:04.424,2026-07-29,7437.19,-7.4165464e+07,-1.26975896e+08,0.0052173603,0.0052173603
2026-07-29 02:50:04.447,2026-07-29,7436.94,-7.349875e+07,-1.2755036e+08,0.0051708063,0.0051708063
2026-07-29 02:51:04.478,2026-07-29,7438.44,-7.352952e+07,-1.26173224e+08,0.005170885,0.005170885
2026-07-29 02:52:04.517,2026-07-29,7438.19,-7.2819984e+07,-1.2495569e+08,0.0051213317,0.0051213317
2026-07-29 02:53:04.548,2026-07-29,7438.69,-7.25228e+07,-1.2501012e+08,0.0050997455,0.0050997455
2026-07-29 02:54:04.578,2026-07-29,7438.44,-7.227947e+07,-1.2740312e+08,0.005082977,0.005082977
2026-07-29 02:55:04.604,2026-07-29,7439.19,-7.229564e+07,-1.27431616e+08,0.0050830888,0.0050830888
2026-07-29 02:56:04.635,2026-07-29,7439.19,-7.229564e+07,-1.27994224e+08,0.0050830888,0.0050830888
2026-07-29 02:57:04.661,2026-07-29,7439.69,-7.189697e+07,-1.2728841e+08,0.005054379,0.005054379
2026-07-29 02:58:04.685,2026-07-29,7438.94,-7.1833264e+07,-1.2773464e+08,0.0050509186,0.0050509186
2026-07-29 02:59:04.713,2026-07-29,7438.94,-7.1948496e+07,-1.28219496e+08,0.005059021,0.005059021
2026-07-29 03:00:04.74,2026-07-29,7440.19,-7.184852e+07,-1.2776177e+08,0.005050294,0.005050294
2026-07-29 03:01:04.77,2026-07-29,7438.44,-7.210043e+07,-1.27929176e+08,0.005070386,0.005070386
2026-07-29 03:02:04.801,2026-07-29,7437.69,-7.319779e+07,-1.31585136e+08,0.0051485947,0.0051485947
2026-07-29 03:03:04.829,2026-07-29,7436.44,-7.2527896e+07,-1.30663104e+08,0.005103191,0.005103191
2026-07-29 03:04:04.863,2026-07-29,7436.44,-7.2989376e+07,-1.3177848e+08,0.005135661,0.005135661
2026-07-29 03:05:04.891,2026-07-29,7437.69,-7.277087e+07,-1.33366064e+08,0.0051185656,0.0051185656
2026-07-29 03:06:04.917,2026-07-29,7438.19,-7.298197e+07,-1.33752944e+08,0.005132724,0.005132724
2026-07-29 03:07:04.944,2026-07-29,7437.94,-7.2708144e+07,-1.3353403e+08,0.0051138103,0.0051138103
2026-07-29 03:08:04.974,2026-07-29,7438.44,-7.303573e+07,-1.34135664e+08,0.0051361597,0.0051361597
2026-07-29 03:09:05.003,2026-07-29,7438.94,-7.300589e+07,-1.34080856e+08,0.0051333713,0.0051333713
2026-07-29 03:10:05.028,2026-07-29,7441.44,-7.305497e+07,-1.3502378e+08,0.0051333713,0.0051333713
2026-07-29 03:11:05.068,2026-07-29,7442.69,-7.224416e+07,-1.3464962e+08,0.005074693,0.005074693
2026-07-29 03:12:05.104,2026-07-29,7443.19,-7.163912e+07,-1.3407944e+08,0.0050315163,0.0050315163
2026-07-29 03:13:05.13,2026-07-29,7442.94,-7.1634304e+07,-1.3407043e+08,0.0050315163,0.0050315163
2026-07-29 03:14:05.172,2026-07-29,7440.69,-7.139049e+07,-1.3416967e+08,0.005017424,0.005017424
2026-07-29 03:15:05.202,2026-07-29,7440.19,-7.203855e+07,-1.3566794e+08,0.005063651,0.005063651
2026-07-29 03:16:05.229,2026-07-29,7440.94,-7.2427144e+07,-1.3639976e+08,0.0050899396,0.0050899396
2026-07-29 03:17:05.259,2026-07-29,7440.69,-7.2426576e+07,-1.3639869e+08,0.0050902413,0.0050902413
2026-07-29 03:18:05.294,2026-07-29,7442.19,-7.189097e+07,-1.3594946e+08,0.005050562,0.005050562
2026-07-29 03:19:05.331,2026-07-29,7439.44,-7.220956e+07,-1.3655194e+08,0.0050766952,0.0050766952
2026-07-29 03:20:05.367,2026-07-29,7439.94,-7.265681e+07,-1.373977e+08,0.0051074526,0.0051074526
2026-07-29 03:21:05.394,2026-07-29,7439.19,-7.2065536e+07,-1.3627958e+08,0.0050669103,0.0050669103
2026-07-29 03:22:05.421,2026-07-29,7438.69,-7.2917784e+07,-1.3849195e+08,0.0050669103,0.005089453
2026-07-29 03:23:05.448,2026-07-29,7437.94,-7.271004e+07,-1.3834712e+08,0.005113943,0.005113943
2026-07-29 03:24:05.475,2026-07-29,7437.94,-7.318048e+07,-1.3981173e+08,0.005147031,0.005147031
