timestamp,date,time,core_oivol,core_vol,spx,es,gex_flip,abs_gex,trigger_type,expiration
1781178444000,2026-06-11,07:47:24,7350,7350,7330,7330,,1.6977,manual,2026-06-11
1781184728000,2026-06-11,09:32:08,7350,7350,7293.44,7293.44,,1.6452,manual,2026-06-11
1781185206000,2026-06-11,09:40:06,7250,7200,7283.24,7283.24,,12.8862,manual,2026-06-11
1781185500000,2026-06-11,09:45:00,7250,7250,7284.93,7284.93,,3.187,auto-9:45,2026-06-11
1781186566000,2026-06-11,10:02:46,7350,7350,7323.66,7323.66,,11.0722,manual,2026-06-11
1781188955000,2026-06-11,10:42:35,7350,7350,7307.88,7307.88,,12.8656,manual,2026-06-11
1781189205000,2026-06-11,10:46:45,7350,7350,7294.74,7294.74,,13.3144,manual,2026-06-11
1781189209000,2026-06-11,10:46:49,7350,7350,7294.22,7294.22,,13.3144,manual,2026-06-11
1781189215000,2026-06-11,10:46:55,7350,7350,7294.36,7294.36,,13.3144,manual,2026-06-11
1781189220000,2026-06-11,10:47:00,7350,7350,7294.89,7294.89,,13.3144,manual,2026-06-11
1781189951000,2026-06-11,10:59:11,7250,7250,7265.55,7265.55,,33.8522,manual,2026-06-11
1781192351000,2026-06-11,11:39:11,7350,7350,7300.29,7300.29,,0.3659,manual,2026-06-11
1781192890000,2026-06-11,11:48:10,7250,7250,7294.54,7294.54,,14.6187,manual,2026-06-11
1781193600000,2026-06-11,12:00:00,7250,7350,7293.36,7293.36,,9.5849,auto-12:00,2026-06-11
1781193601000,2026-06-11,12:00:01,7250,7250,7292.86,7292.86,,26.4292,auto-12:00,2026-06-11
1781193843000,2026-06-11,12:04:03,7350,7350,7291.51,7291.51,,5.8043,manual,2026-06-11
1781194331000,2026-06-11,12:12:11,7350,7350,7308.85,7308.85,,15.3612,manual,2026-06-11
1781194627000,2026-06-11,12:17:07,7350,7350,7310.59,7310.59,,41.498,manual,2026-06-11
1781196898000,2026-06-11,12:54:58,7250,7250,7283.73,7283.73,,30.6762,manual,2026-06-11
1781199923000,2026-06-11,13:45:23,7350,7350,7376.09,7376.09,,238.4383,manual,2026-06-11
1781202165000,2026-06-11,14:22:45,7350,7350,7354.66,7354.66,,307.3453,manual,2026-06-11
1781205215000,2026-06-11,15:13:35,7400,7400,7360.04,7360.04,,434.4293,manual,2026-06-11
1781205390000,2026-06-11,15:16:30,7400,7400,7360.04,7360.04,,444.7103,manual,2026-06-11
1781557327249,2026-06-15,17:02:07,7550,7555,7554.29,7561.875,7460,3.0478326e+10,manual,—
1781698648969,2026-06-17,08:17:28,7500,7500,7511.35,7511.35,7519.1,5.1822784e+08,manual,—
1781825516689,2026-06-18,19:31:56,7500,7550,7500.58,7500.58,7372.437,1.7089507e+09,manual,2026-06-22
1781882130415,2026-06-19,11:15:30,7500,7505,7505.435,7505.435,7500,2.22074e+09,manual,2026-06-22
1781883658686,2026-06-19,11:40:58,7500,7505,7500.58,7500.58,7500,2.2658614e+09,manual,2026-06-22
1781918001165,2026-06-19,21:13:21,7500,7505,7500.58,7500.58,7500,2.2658819e+09,manual,2026-06-22
1781918977891,2026-06-19,21:29:37,7500,7505,7500.58,7500.58,7500,2.2658614e+09,manual,2026-06-22
1781920504095,2026-06-19,21:55:04,7500,7505,7500.58,7500.58,7500,2.2658496e+09,manual,2026-06-22
1781920582725,2026-06-19,21:56:22,7500,7505,7500.58,7500.58,7500,2.2658614e+09,manual,2026-06-22
1781961133847,2026-06-20,09:12:13,7500,7505,7505.435,7505.435,7500,2.268876e+09,manual,2026-06-22
1782002326447,2026-06-20,20:38:46,7500,7505,7500.58,7500.58,7500,2.2659418e+09,manual,2026-06-22
1782092948659,2026-06-21,21:49:08,7500,7505,7500.58,7500.58,7500,3.0482926e+09,manual,2026-06-22
1782093181131,2026-06-21,21:53:01,7500,7505,7500.58,7500.58,7500,2.9209567e+09,manual,2026-06-22
1782095922038,2026-06-21,22:38:42,7400,7505,7500.58,7500.58,7400,3.835845e+09,manual,2026-06-22
1782109709938,2026-06-22,02:28:29,7500,7505,7500.58,7500.58,7500,2.7422392e+09,manual,2026-06-22
1782126226179,2026-06-22,07:03:46,7400,7505,7500.58,7500.58,7400,1.8677748e+09,manual,2026-06-22
1782128777176,2026-06-22,07:46:17,7400,7505,7505.435,7505.435,7400,1.7508456e+09,manual,2026-06-22
1782130172038,2026-06-22,08:09:32,7550,7505,7500.58,7500.58,7550,9.985706e+08,manual,2026-06-22
1782133363237,2026-06-22,09:02:43,7575,7505,7500.58,7500.58,7636.9043,4.8909382e+08,manual,2026-06-22
1782133399243,2026-06-22,09:03:19,7550,7505,7500.58,7500.58,7631.934,6.295409e+08,manual,2026-06-22
1782135312436,2026-06-22,09:35:12,7575,7550,7510.75,7510.75,7596.347,1.4846377e+09,manual,2026-06-22
1782137096076,2026-06-22,10:04:56,7550,7550,7524.78,7524.78,7555.6187,4.2775112e+09,manual,2026-06-22
1782138731931,2026-06-22,10:32:11,7475,7500,7482.62,7482.62,7475,3.6155592e+09,manual,2026-06-22
1782139415564,2026-06-22,10:43:35,7400,7480,7479.42,7479.42,7400,5.027004e+09,manual,2026-06-22
1782139757713,2026-06-22,10:49:17,7400,7450,7475.62,7475.62,7400,5.354486e+09,manual,2026-06-22
1782139980038,2026-06-22,14:53:00,7400,7450,7473.39,7473.39,7400,6.123709e+09,auto-5m,2026-06-22
1782140100022,2026-06-22,14:55:00,7400,7450,7466.72,7466.72,7400,6.3164273e+09,auto-5m,2026-06-22
1782140378577,2026-06-22,10:59:38,7400,7450,7475.69,7475.69,7400,9.899322e+09,auto-5m,2026-06-22
1782140400046,2026-06-22,15:00:00,7400,7450,7475.83,7475.83,7400,6.12691e+09,auto-5m,2026-06-22
1782140400068,2026-06-22,11:00:00,7400,7450,7475.73,7475.73,7400,9.899349e+09,auto-5m,2026-06-22
1782140700017,2026-06-22,15:05:00,7475,7450,7479.86,7479.86,7475,4.867685e+09,auto-5m,2026-06-22
1782140700556,2026-06-22,11:05:00,7475,7450,7479.73,7479.73,7475,9.638742e+09,auto-5m,2026-06-22
1782141000047,2026-06-22,15:10:00,7400,7450,7471.62,7471.62,7400,6.3373937e+09,auto-5m,2026-06-22
1782141000066,2026-06-22,11:10:00,7400,7450,7471.67,7471.67,7400,9.940863e+09,auto-5m,2026-06-22
1782141300019,2026-06-22,15:15:00,7450,7450,7473.15,7473.15,7450,6.0747233e+09,auto-5m,2026-06-22
1782141341749,2026-06-22,11:15:41,7475,7450,7474.625,7474.625,7475,1.0147713e+10,auto-5m,2026-06-22
1782141346810,2026-06-22,11:15:46,7475,7450,7473.27,7473.27,7475,6.230964e+09,manual,2026-06-22
1782141516217,2026-06-22,11:18:36,7450,7450,7477.08,7477.08,7450,6.6572227e+09,manual,2026-06-22
1782141600013,2026-06-22,15:20:00,7475,7450,7470.67,7470.67,7475,6.051857e+09,auto-5m,2026-06-22
1782141600084,2026-06-22,11:20:00,7475,7450,7470.63,7470.63,7475,9.817177e+09,auto-5m,2026-06-22
1782141613894,2026-06-22,11:20:13,7475,7450,7470.895,7470.895,7475,6.5337185e+09,manual,2026-06-22
1782141900013,2026-06-22,15:25:00,7475,7450,7477.215,7477.215,7475,6.278007e+09,auto-5m,2026-06-22
1782141900050,2026-06-22,11:25:00,7475,7450,7477.15,7477.15,7475,9.956078e+09,auto-5m,2026-06-22
1782142200012,2026-06-22,15:30:00,7475,7450,7472.26,7472.26,7475,6.5579156e+09,auto-5m,2026-06-22
1782142200062,2026-06-22,11:30:00,7475,7450,7472.525,7472.525,7475,1.0100622e+10,auto-5m,2026-06-22
1782142500018,2026-06-22,15:35:00,7475,7450,7475.71,7475.71,7475,5.9225656e+09,auto-5m,2026-06-22
1782142500076,2026-06-22,11:35:00,7475,7450,7475.505,7475.505,7475,9.636045e+09,auto-5m,2026-06-22
1782142800015,2026-06-22,15:40:00,7475,7450,7480.77,7480.77,7475,5.490582e+09,auto-5m,2026-06-22
1782142800614,2026-06-22,11:40:00,7475,7450,7480.75,7480.75,7475,9.628398e+09,auto-5m,2026-06-22
1782143100017,2026-06-22,15:45:00,7475,7470,7487.97,7487.97,7475,3.7290522e+09,auto-5m,2026-06-22
1782143100796,2026-06-22,11:45:00,7475,7470,7487.87,7487.87,7475,8.891715e+09,auto-5m,2026-06-22
1782143400017,2026-06-22,15:50:00,7475,7470,7474.415,7474.415,7475,4.83987e+09,auto-5m,2026-06-22
1782143400712,2026-06-22,11:50:00,7475,7470,7473.135,7473.135,7475,9.120981e+09,auto-5m,2026-06-22
1782143700015,2026-06-22,15:55:00,7475,7450,7474.47,7474.47,7475,6.049964e+09,auto-5m,2026-06-22
1782143700772,2026-06-22,11:55:00,7475,7450,7474.475,7474.475,7475,9.77373e+09,auto-5m,2026-06-22
1782144000014,2026-06-22,16:00:00,7475,7450,7474.515,7474.515,7475,6.193253e+09,auto-5m,2026-06-22
1782144000674,2026-06-22,12:00:00,7475,7450,7474.59,7474.59,7475,9.640191e+09,auto-5m,2026-06-22
1782144300015,2026-06-22,16:05:00,7450,7450,7465.97,7465.97,7450,7.483163e+09,auto-5m,2026-06-22
1782144300073,2026-06-22,12:05:00,7450,7450,7466.07,7466.07,7450,1.0203309e+10,auto-5m,2026-06-22
1782144600016,2026-06-22,16:10:00,7450,7450,7470.62,7470.62,7450,7.2460416e+09,auto-5m,2026-06-22
1782144600083,2026-06-22,12:10:00,7450,7450,7470.5,7470.5,7450,1.0000778e+10,auto-5m,2026-06-22
1782144900016,2026-06-22,16:15:00,7475,7450,7477.91,7477.91,7475,6.5567304e+09,auto-5m,2026-06-22
1782144900133,2026-06-22,12:15:00,7475,7450,7477.905,7477.905,7475,9.711239e+09,auto-5m,2026-06-22
1782145200019,2026-06-22,16:20:00,7475,7450,7478.05,7478.05,7475,6.469943e+09,auto-5m,2026-06-22
1782145200148,2026-06-22,12:20:00,7475,7450,7478.125,7478.125,7475,9.643221e+09,auto-5m,2026-06-22
1782145500022,2026-06-22,16:25:00,7475,7450,7473.995,7473.995,7475,6.6164076e+09,auto-5m,2026-06-22
1782145500945,2026-06-22,12:25:00,7475,7450,7473.905,7473.905,7475,9.50768e+09,auto-5m,2026-06-22
1782145800025,2026-06-22,16:30:00,7475,7450,7476.54,7476.54,7475,6.908747e+09,auto-5m,2026-06-22
1782145800120,2026-06-22,12:30:00,7475,7450,7476.54,7476.54,7475,9.66466e+09,auto-5m,2026-06-22
1782146100017,2026-06-22,16:35:00,7475,7450,7471.84,7471.84,7475,7.375047e+09,auto-5m,2026-06-22
1782146100125,2026-06-22,12:35:00,7475,7450,7471.95,7471.95,7475,9.638837e+09,auto-5m,2026-06-22
1782146400020,2026-06-22,16:40:00,7475,7450,7472.82,7472.82,7475,7.117995e+09,auto-5m,2026-06-22
1782146400109,2026-06-22,12:40:00,7475,7450,7472.82,7472.82,7475,9.805591e+09,auto-5m,2026-06-22
1782146700080,2026-06-22,16:45:00,7475,7450,7472.62,7472.62,7475,7.492332e+09,auto-5m,2026-06-22
1782146700111,2026-06-22,12:45:00,7475,7450,7472.55,7472.55,7475,9.733797e+09,auto-5m,2026-06-22
1782147000018,2026-06-22,16:50:00,7475,7470,7478.19,7478.19,7475,6.374694e+09,auto-5m,2026-06-22
1782147000116,2026-06-22,12:50:00,7475,7470,7478.145,7478.145,7475,9.396628e+09,auto-5m,2026-06-22
1782147300016,2026-06-22,16:55:00,7475,7470,7479.745,7479.745,7475,6.0973926e+09,auto-5m,2026-06-22
1782147300093,2026-06-22,12:55:00,7475,7470,7479.745,7479.745,7475,9.180581e+09,auto-5m,2026-06-22
1782147600075,2026-06-22,17:00:00,7475,7470,7478.15,7478.15,7475,6.0033874e+09,auto-5m,2026-06-22
1782147600104,2026-06-22,13:00:00,7475,7470,7478.15,7478.15,7475,9.066154e+09,auto-5m,2026-06-22
1782147900063,2026-06-22,17:05:00,7475,7470,7477.45,7477.45,7475,6.162851e+09,auto-5m,2026-06-22
1782147900086,2026-06-22,13:05:00,7475,7470,7477.45,7477.45,7475,9.249793e+09,auto-5m,2026-06-22
1782148200068,2026-06-22,17:10:00,7475,7470,7471.46,7471.46,7475,7.4707564e+09,auto-5m,2026-06-22
1782148200082,2026-06-22,13:10:00,7475,7470,7471.485,7471.485,7475,9.601694e+09,auto-5m,2026-06-22
1782148500016,2026-06-22,17:15:00,7475,7470,7474.06,7474.06,7475,7.095796e+09,auto-5m,2026-06-22
1782148500089,2026-06-22,13:15:00,7475,7470,7474.06,7474.06,7475,9.399827e+09,auto-5m,2026-06-22
1782148800014,2026-06-22,17:20:00,7475,7470,7479.33,7479.33,7475,6.7285934e+09,auto-5m,2026-06-22
1782148800077,2026-06-22,13:20:00,7475,7470,7479.26,7479.26,7475,9.319607e+09,auto-5m,2026-06-22
1782149100017,2026-06-22,17:25:00,7475,7470,7477.5,7477.5,7475,6.5985695e+09,auto-5m,2026-06-22
1782149100087,2026-06-22,13:25:00,7475,7470,7477.5,7477.5,7475,9.224934e+09,auto-5m,2026-06-22
1782149400015,2026-06-22,17:30:00,7475,7470,7475.81,7475.81,7475,5.989187e+09,auto-5m,2026-06-22
1782149400074,2026-06-22,13:30:00,7475,7470,7475.81,7475.81,7475,9.30368e+09,auto-5m,2026-06-22
1782149700019,2026-06-22,17:35:00,7475,7470,7473.58,7473.58,7475,6.874652e+09,auto-5m,2026-06-22
