variant,avg_$,avg_R,avg_loss_$,avg_win_$,confirm,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
[from_above]long+confirm/fixed_3r/$100,-5.69,-0.057,-90.1,145.54,reversal,31,long,37.3,fixed_3r,-5.69,-1904.26,-381.16,0.9,100.0,134.53,from_above,10.0,49.3,-0.35,67,band,35.8
[from_above]long+confirm/fixed_3r/$150,-11.09,-0.074,-118.13,146.92,reversal,31,long,57.7,fixed_3r,-11.09,-1946.88,-576.46,0.84,150.0,158.23,from_above,15.0,36.5,-0.51,52,band,40.4
[from_above]long+confirm/fixed_3r/$250,-10.83,-0.043,-149.22,165.99,reversal,31,long,68.3,fixed_3r,-10.83,-1947.06,-444.18,0.87,250.0,216.07,from_above,25.0,26.8,-0.32,41,band,43.9
[from_above]long+confirm/scale_be/$50,-6.79,-0.136,-55.3,44.66,reversal,31,long,7.4,scale_be,-6.79,-1327.07,-923.53,0.76,50.0,55.97,from_above,5.0,76.5,-1.42,136,band,48.5
[from_above]long+confirm/scale_be/$100,-1.43,-0.014,-91.37,81.59,reversal,31,long,30.7,scale_be,-1.43,-1019.46,-107.25,0.97,100.0,99.51,from_above,10.0,58.7,-0.12,75,band,52.0
[from_above]long+confirm/scale_be/$150,-7.32,-0.049,-126.55,103.68,reversal,31,long,51.8,scale_be,-7.32,-1409.64,-410.13,0.88,150.0,130.02,from_above,15.0,44.6,-0.42,56,band,51.8
[from_above]long+confirm/scale_be/$250,-18.9,-0.076,-156.18,124.62,reversal,31,long,62.2,scale_be,-18.9,-1989.54,-850.35,0.76,250.0,180.82,from_above,25.0,33.3,-0.7,45,band,48.9
[from_above]long+confirm/ratchet/$50,-6.42,-0.128,-55.3,44.65,reversal,31,long,6.6,ratchet,-6.42,-1284.55,-879.76,0.77,50.0,55.11,from_above,5.0,79.6,-1.36,137,band,48.9
[from_above]long+confirm/ratchet/$100,-0.74,-0.007,-91.8,83.49,reversal,31,long,28.6,ratchet,-0.74,-1019.46,-57.21,0.98,100.0,100.14,from_above,10.0,61.0,-0.07,77,band,51.9
[from_above]long+confirm/ratchet/$150,-6.69,-0.045,-126.55,101.19,reversal,31,long,47.4,ratchet,-6.69,-1409.64,-381.36,0.89,150.0,128.76,from_above,15.0,49.1,-0.39,57,band,52.6
[from_above]long+confirm/ratchet/$250,-18.9,-0.076,-156.18,124.62,reversal,31,long,62.2,ratchet,-18.9,-1989.54,-850.35,0.76,250.0,180.82,from_above,25.0,33.3,-0.7,45,band,48.9
