variant,avg_$,avg_R,avg_loss_$,avg_win_$,confirm,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_below]fade+confirm/scale_be/$100,-25.1,-0.251,-93.5,79.13,reversal,23,fade,34.0,scale_be,-25.1,-1446.54,-1330.19,0.56,100.0,94.44,from_below,10.0,60.4,-1.93,53,new_core_approach,39.6
new_core_approach:[from_below]fade+confirm/scale_be/$150,-28.11,-0.187,-127.58,90.32,reversal,23,fade,43.5,scale_be,-28.11,-1435.69,-1292.83,0.59,150.0,126.14,from_below,15.0,50.0,-1.51,46,new_core_approach,45.7
new_core_approach:[from_below]fade+confirm/scale_be/$250,-39.82,-0.159,-149.23,142.52,reversal,23,fade,62.5,scale_be,-39.82,-1431.94,-1274.36,0.57,250.0,188.91,from_below,25.0,31.2,-1.19,32,new_core_approach,37.5
new_core_approach:[from_below]fade+confirm/ratchet/$50,-12.85,-0.257,-55.95,42.56,reversal,23,fade,6.2,ratchet,-12.85,-822.47,-822.47,0.59,50.0,53.15,from_below,5.0,84.4,-1.93,64,new_core_approach,43.8
new_core_approach:[from_below]fade+confirm/ratchet/$100,-23.21,-0.232,-93.5,83.89,reversal,23,fade,34.0,ratchet,-23.21,-1358.05,-1230.19,0.59,100.0,96.26,from_below,10.0,60.4,-1.76,53,new_core_approach,39.6
new_core_approach:[from_below]fade+confirm/ratchet/$150,-28.38,-0.189,-124.02,90.02,reversal,23,fade,42.6,ratchet,-28.38,-1476.92,-1334.06,0.59,150.0,124.61,from_below,15.0,51.1,-1.56,47,new_core_approach,44.7
new_core_approach:[from_below]fade+confirm/ratchet/$250,-39.82,-0.159,-149.23,142.52,reversal,23,fade,62.5,ratchet,-39.82,-1431.94,-1274.36,0.57,250.0,188.91,from_below,25.0,31.2,-1.19,32,new_core_approach,37.5
new_core_approach:[from_below]reject+confirm/fixed_1r/$50,-7.48,-0.15,-55.15,41.83,reversal,23,reject,5.1,fixed_1r,-7.48,-646.52,-441.32,0.73,50.0,49.0,from_below,5.0,47.5,-1.17,59,new_core_approach,49.2
new_core_approach:[from_below]reject+confirm/fixed_1r/$100,5.71,0.057,-92.38,84.19,reversal,23,reject,18.5,fixed_1r,5.71,-744.78,308.58,1.14,100.0,91.38,from_below,10.0,35.2,0.46,54,new_core_approach,55.6
new_core_approach:[from_below]reject+confirm/fixed_1r/$150,15.19,0.101,-101.36,116.54,reversal,23,reject,37.2,fixed_1r,15.19,-842.36,653.36,1.32,150.0,120.18,from_below,15.0,23.3,0.83,43,new_core_approach,53.5
new_core_approach:[from_below]reject+confirm/fixed_1r/$250,2.88,0.012,-129.01,142.52,reversal,23,reject,54.3,fixed_1r,2.88,-739.92,100.7,1.04,250.0,169.31,from_below,25.0,20.0,0.1,35,new_core_approach,48.6
new_core_approach:[from_below]reject+confirm/fixed_2r/$50,2.39,0.048,-55.36,85.24,reversal,23,reject,8.9,fixed_2r,2.39,-782.18,133.62,1.07,50.0,70.61,from_below,5.0,55.4,0.25,56,new_core_approach,41.1
new_core_approach:[from_below]reject+confirm/fixed_2r/$100,6.11,0.061,-93.54,135.65,reversal,23,reject,28.3,fixed_2r,6.11,-729.82,280.92,1.12,100.0,125.06,from_below,10.0,45.7,0.33,46,new_core_approach,43.5
new_core_approach:[from_below]reject+confirm/fixed_2r/$150,13.6,0.091,-105.89,188.85,reversal,23,reject,43.2,fixed_2r,13.6,-842.36,503.24,1.22,150.0,168.25,from_below,15.0,32.4,0.49,37,new_core_approach,40.5
new_core_approach:[from_below]reject+confirm/fixed_2r/$250,-19.48,-0.078,-167.81,128.85,reversal,23,reject,66.7,fixed_2r,-19.48,-1142.3,-584.4,0.77,250.0,191.55,from_below,25.0,30.0,-0.56,30,new_core_approach,50.0
new_core_approach:[from_below]reject+confirm/fixed_3r/$50,6.86,0.137,-55.42,118.31,reversal,23,reject,13.2,fixed_3r,6.86,-782.18,363.56,1.19,50.0,87.45,from_below,5.0,60.4,0.57,53,new_core_approach,35.8
new_core_approach:[from_below]reject+confirm/fixed_3r/$100,13.83,0.138,-95.88,175.17,reversal,23,reject,28.6,fixed_3r,13.83,-749.78,580.84,1.24,100.0,153.24,from_below,10.0,50.0,0.58,42,new_core_approach,40.5
new_core_approach:[from_below]reject+confirm/fixed_3r/$150,8.59,0.057,-110.66,210.4,reversal,23,reject,51.4,fixed_3r,8.59,-842.36,300.7,1.12,150.0,187.61,from_below,15.0,37.1,0.27,35,new_core_approach,37.1
